transaction_id,customer_id,product_id,quantity,unit_price,total_amount,date,store_type,payment_method
T00070,C0003,P011,1,403.88,403.88,2025-07-01,Online,Debit Card
T00071,C0048,P027,4,137.15,548.6,2024-10-09,In-Store,Apple Pay
T00072,C0943,P006,2,113.23,226.46,2026-02-03,Online,Credit Card
T00073,C0567,P021,4,353.76,1415.04,2026-05-31,Online,PayPal
T00074,C0255,P026,4,188.24,752.96,2025-02-14,In-Store,PayPal
T00075,C0846,P026,1,188.24,188.24,2026-04-04,In-Store,Credit Card
T00076,C0515,P023,1,44.5,44.5,2026-04-06,Online,Debit Card
T00077,C0824,P024,5,55.0,275.0,2026-02-08,Online,Apple Pay
T00078,C0071,P025,4,319.66,1278.64,2025-06-22,In-Store,PayPal
T00079,C0336,P012,1,173.42,173.42,2024-11-04,In-Store,Credit Card
T00080,C0378,P003,2,369.55,739.1,2025-04-06,In-Store,Cash
T00081,C0804,P030,3,85.88,257.64,2026-02-25,Online,Apple Pay
T00082,C0378,P006,5,113.23,566.15,2025-12-08,In-Store,Debit Card
T00083,C0751,P023,5,44.5,222.5,2026-02-01,Online,Debit Card
T00084,C0007,P009,4,114.12,456.48,2025-01-27,Online,Debit Card
T00085,C0555,P011,3,403.88,1211.64,2025-02-19,Online,PayPal
T00086,C0002,P010,4,405.67,1622.68,2025-05-24,In-Store,Credit Card
T00087,C0211,P017,5,270.43,1352.15,2026-01-19,Online,Apple Pay
T00088,C0504,P022,1,117.81,117.81,2025-11-20,Online,PayPal
T00089,C0096,P023,1,44.5,44.5,2024-11-16,Online,Cash
T00090,C0423,P009,3,114.12,342.36,2025-01-26,In-Store,Credit Card
T00091,C0595,P008,1,326.69,326.69,2024-12-04,Online,Apple Pay
T00092,C0077,P015,5,424.51,2122.55,2025-04-29,Online,Apple Pay
T00093,C0679,P022,2,117.81,235.62,2024-07-21,Online,PayPal
T00094,C0268,P028,3,325.78,977.34,2024-12-08,In-Store,PayPal
T00095,C0326,P027,4,137.15,548.6,2024-10-12,In-Store,Debit Card
T00096,C0077,P016,2,404.53,809.06,2025-06-16,Online,Cash
T00097,C0112,P009,2,114.12,228.24,2026-04-11,Online,Debit Card
T00098,C0461,P006,4,113.23,452.92,2025-07-16,In-Store,Apple Pay
T00099,C0124,P007,5,18.14,90.7,2024-06-24,In-Store,Debit Card
T00100,C0463,P023,3,44.5,133.5,2024-12-18,In-Store,PayPal
T00101,C0873,P030,1,85.88,85.88,2026-05-13,Online,Debit Card
T00102,C0827,P024,3,55.0,165.0,2024-12-22,Online,Debit Card
T00103,C0856,P029,3,89.71,269.13,2024-09-08,Online,Credit Card
T00104,C0729,P015,2,424.51,849.02,2025-04-16,In-Store,Apple Pay
T00105,C0526,P009,1,114.12,114.12,2025-01-11,In-Store,PayPal
T00106,C0840,P008,2,326.69,653.38,2025-07-15,Online,Apple Pay
T00107,C0876,P014,4,50.91,203.64,2024-10-15,Online,Credit Card
T00108,C0474,P029,1,89.71,89.71,2025-10-20,Online,Credit Card
T00109,C0013,P026,1,188.24,188.24,2025-08-24,Online,Debit Card
T00110,C0203,P018,4,192.37,769.48,2025-07-18,In-Store,Credit Card
T00111,C0597,P028,5,325.78,1628.9,2026-04-23,In-Store,Credit Card
T00112,C0023,P018,1,192.37,192.37,2024-10-22,Online,Apple Pay
T00113,C0829,P011,2,403.88,807.76,2026-01-25,Online,PayPal
T00114,C0126,P021,1,353.76,353.76,2026-04-25,In-Store,Credit Card
T00115,C0173,P010,5,405.67,2028.35,2026-03-15,In-Store,Apple Pay
T00116,C0509,P015,1,424.51,424.51,2026-03-28,In-Store,Apple Pay
T00117,C0177,P026,3,188.24,564.72,2024-08-24,Online,Debit Card
T00118,C0282,P011,3,403.88,1211.64,2024-07-30,In-Store,Debit Card
T00119,C0036,P019,5,415.56,2077.8,2025-01-04,Online,PayPal
T00120,C0511,P010,4,405.67,1622.68,2026-03-21,In-Store,Credit Card
T00121,C0090,P011,3,403.88,1211.64,2026-03-11,In-Store,Debit Card
T00122,C0430,P020,2,431.54,863.08,2025-01-13,Online,Cash
T00123,C0814,P016,1,404.53,404.53,2026-01-24,In-Store,PayPal
T00124,C0492,P017,5,270.43,1352.15,2025-09-23,In-Store,PayPal
T00125,C0935,P026,5,188.24,941.2,2025-09-07,In-Store,Apple Pay
T00126,C0277,P022,2,117.81,235.62,2024-07-28,Online,PayPal
T00127,C0612,P016,2,404.53,809.06,2026-03-24,Online,PayPal
T00128,C0060,P023,4,44.5,178.0,2025-09-09,In-Store,Cash
T00129,C0239,P022,2,117.81,235.62,2025-07-09,Online,Debit Card
T00130,C0673,P026,2,188.24,376.48,2026-04-12,In-Store,Cash
T00131,C0836,P011,1,403.88,403.88,2025-05-21,Online,Cash
T00132,C0867,P007,4,18.14,72.56,2025-12-18,In-Store,Debit Card
T00133,C0181,P010,2,405.67,811.34,2025-03-02,In-Store,PayPal
T00134,C0936,P023,5,44.5,222.5,2025-05-04,Online,PayPal
T00135,C0971,P021,5,353.76,1768.8,2025-01-22,Online,Cash
T00136,C0972,P002,2,141.14,282.28,2025-05-13,In-Store,Cash
T00137,C0317,P019,2,415.56,831.12,2024-11-30,In-Store,Credit Card
T00138,C0093,P016,1,404.53,404.53,2025-01-13,Online,Cash
T00139,C0225,P028,1,325.78,325.78,2025-02-20,In-Store,Credit Card
T00140,C0340,P026,5,188.24,941.2,2024-08-12,Online,Debit Card
T00141,C0349,P022,2,117.81,235.62,2025-12-24,In-Store,Credit Card
T00142,C0023,P024,2,55.0,110.0,2026-04-15,Online,Credit Card
T00143,C0867,P007,5,18.14,90.7,2024-10-01,In-Store,Credit Card
T00144,C0383,P009,4,114.12,456.48,2025-01-02,Online,PayPal
T00145,C0310,P010,3,405.67,1217.01,2024-09-04,Online,Debit Card
T00146,C0750,P024,4,55.0,220.0,2025-08-28,In-Store,PayPal
T00147,C0179,P008,5,326.69,1633.45,2025-01-12,In-Store,Debit Card
T00148,C0682,P007,5,18.14,90.7,2026-01-11,Online,Apple Pay
T00149,C0315,P002,3,141.14,423.42,2024-11-16,Online,Debit Card
T00150,C0747,P025,1,319.66,319.66,2025-03-27,In-Store,Cash
T00151,C0034,P014,2,50.91,101.82,2024-10-21,In-Store,Cash
T00152,C0227,P021,5,353.76,1768.8,2026-03-02,Online,Apple Pay
T00153,C0145,P005,3,213.85,641.55,2025-09-28,Online,Debit Card
T00154,C0356,P013,3,478.82,1436.46,2025-03-18,Online,Credit Card
T00155,C0842,P011,3,403.88,1211.64,2026-04-19,In-Store,Credit Card
T00156,C0272,P021,2,353.76,707.52,2026-06-02,Online,Credit Card
T00157,C0359,P014,3,50.91,152.73,2026-06-03,Online,Credit Card
T00158,C0050,P008,4,326.69,1306.76,2024-09-29,In-Store,Apple Pay
T00159,C0993,P006,2,113.23,226.46,2026-05-28,In-Store,Apple Pay
T00160,C0903,P023,4,44.5,178.0,2024-12-31,In-Store,Cash
T00161,C0385,P019,1,415.56,415.56,2026-05-31,In-Store,Cash
T00162,C0667,P017,2,270.43,540.86,2026-03-31,Online,Apple Pay
T00163,C0076,P017,1,270.43,270.43,2025-07-08,In-Store,Credit Card
T00164,C0327,P022,3,117.81,353.43,2024-11-19,Online,Credit Card
T00165,C0351,P015,2,424.51,849.02,2026-03-13,In-Store,Debit Card
T00166,C0750,P025,1,319.66,319.66,2025-02-14,Online,PayPal
T00167,C0609,P005,5,213.85,1069.25,2025-09-08,In-Store,Credit Card
T00168,C0442,P006,2,113.23,226.46,2025-09-19,In-Store,Debit Card
T00169,C0055,P004,1,446.63,446.63,2026-02-02,In-Store,Debit Card
T00170,C0998,P028,2,325.78,651.56,2026-03-14,In-Store,Cash
T00171,C0740,P024,5,55.0,275.0,2024-10-24,In-Store,PayPal
T00172,C0305,P021,2,353.76,707.52,2025-06-19,Online,Credit Card
T00173,C0403,P028,5,325.78,1628.9,2025-06-15,In-Store,Debit Card
T00174,C0056,P009,3,114.12,342.36,2026-01-15,Online,Apple Pay
T00175,C0090,P020,3,431.54,1294.62,2024-12-13,In-Store,Debit Card
T00176,C0100,P030,1,85.88,85.88,2025-06-16,Online,Debit Card
T00177,C0654,P013,3,478.82,1436.46,2025-08-27,Online,Apple Pay
T00178,C0865,P017,1,270.43,270.43,2026-01-19,In-Store,Apple Pay
T00179,C0483,P007,4,18.14,72.56,2025-12-01,In-Store,Credit Card
T00180,C0658,P002,5,141.14,705.7,2024-10-08,In-Store,Debit Card
T00181,C0380,P027,4,137.15,548.6,2024-12-02,In-Store,Debit Card
T00182,C0457,P023,1,44.5,44.5,2025-03-23,In-Store,Apple Pay
T00183,C0477,P006,3,113.23,339.69,2025-05-15,Online,PayPal
T00184,C0578,P010,1,405.67,405.67,2026-06-14,Online,Credit Card
T00185,C0088,P009,3,114.12,342.36,2025-12-30,In-Store,Cash
T00186,C0233,P011,5,403.88,2019.4,2025-03-07,Online,Apple Pay
T00187,C0839,P024,5,55.0,275.0,2024-11-15,In-Store,Cash
T00188,C0704,P005,4,213.85,855.4,2024-08-22,Online,Apple Pay
T00189,C0307,P028,1,325.78,325.78,2026-01-08,In-Store,Credit Card
T00190,C0515,P016,5,404.53,2022.65,2024-10-19,Online,Credit Card
T00191,C0973,P022,4,117.81,471.24,2024-12-12,Online,Debit Card
T00192,C0996,P024,2,55.0,110.0,2025-03-15,Online,Debit Card
T00193,C0044,P007,4,18.14,72.56,2025-09-04,Online,Apple Pay
T00194,C0207,P002,2,141.14,282.28,2025-06-27,In-Store,PayPal
T00195,C0933,P014,1,50.91,50.91,2026-01-18,Online,Apple Pay
T00196,C0570,P002,4,141.14,564.56,2026-03-28,In-Store,PayPal
T00197,C0533,P008,4,326.69,1306.76,2025-01-14,Online,Cash
T00198,C0602,P009,5,114.12,570.6,2026-05-22,In-Store,Credit Card
T00199,C0425,P004,2,446.63,893.26,2025-07-22,Online,Cash
T00200,C0603,P022,5,117.81,589.05,2025-04-14,Online,Credit Card
T00201,C0577,P006,1,113.23,113.23,2026-01-10,In-Store,Cash
T00202,C0902,P008,3,326.69,980.07,2026-02-27,In-Store,PayPal
T00203,C0393,P026,4,188.24,752.96,2024-09-10,In-Store,Credit Card
T00204,C0177,P030,3,85.88,257.64,2025-06-15,In-Store,Debit Card
T00205,C0634,P014,5,50.91,254.55,2025-08-15,In-Store,Credit Card
T00206,C0406,P017,3,270.43,811.29,2025-03-04,Online,Credit Card
T00207,C0764,P009,4,114.12,456.48,2025-04-17,In-Store,PayPal
T00208,C0021,P017,3,270.43,811.29,2025-06-04,In-Store,PayPal
T00209,C0288,P003,4,369.55,1478.2,2024-09-24,Online,Debit Card
T00210,C0138,P021,3,353.76,1061.28,2025-09-04,In-Store,PayPal
T00211,C0276,P021,4,353.76,1415.04,2025-04-20,Online,Debit Card
T00212,C0453,P006,2,113.23,226.46,2024-10-12,In-Store,Apple Pay
T00213,C0778,P029,5,89.71,448.55,2026-03-20,In-Store,Credit Card
T00214,C0528,P026,2,188.24,376.48,2024-07-07,Online,PayPal
T00215,C0727,P002,5,141.14,705.7,2025-03-19,In-Store,Debit Card
T00216,C0800,P009,5,114.12,570.6,2025-03-08,Online,Debit Card
T00217,C0198,P027,2,137.15,274.3,2024-11-20,Online,Debit Card
T00218,C0034,P007,4,18.14,72.56,2025-04-14,Online,PayPal
T00219,C0722,P014,2,50.91,101.82,2025-12-27,In-Store,PayPal
T00220,C0844,P027,4,137.15,548.6,2026-01-24,In-Store,Credit Card
T00221,C0698,P002,1,141.14,141.14,2026-02-03,Online,PayPal
T00222,C0501,P008,5,326.69,1633.45,2025-06-29,In-Store,Debit Card
T00223,C0984,P004,4,446.63,1786.52,2025-05-06,In-Store,PayPal
T00224,C0168,P020,3,431.54,1294.62,2026-04-20,Online,PayPal
T00225,C0029,P012,4,173.42,693.68,2025-03-04,Online,Debit Card
T00226,C0875,P020,5,431.54,2157.7,2025-04-12,Online,Debit Card
T00227,C0663,P001,2,321.52,643.04,2025-06-26,Online,PayPal
T00228,C0668,P020,4,431.54,1726.16,2025-04-24,Online,Credit Card
T00229,C0486,P010,2,405.67,811.34,2025-03-22,Online,Cash
T00230,C0821,P003,1,369.55,369.55,2024-10-09,Online,PayPal
T00231,C0623,P029,3,89.71,269.13,2025-05-08,In-Store,Apple Pay
T00232,C0917,P013,4,478.82,1915.28,2024-08-19,In-Store,Apple Pay
T00233,C0259,P006,2,113.23,226.46,2026-03-24,In-Store,PayPal
T00234,C0694,P018,5,192.37,961.85,2025-07-29,In-Store,Cash
T00235,C0105,P001,1,321.52,321.52,2025-01-25,In-Store,Cash
T00236,C0663,P011,5,403.88,2019.4,2025-01-04,In-Store,PayPal
T00237,C0701,P001,1,321.52,321.52,2024-12-15,In-Store,Credit Card
T00238,C0345,P010,3,405.67,1217.01,2026-05-06,In-Store,PayPal
T00239,C0268,P026,3,188.24,564.72,2025-09-18,Online,Debit Card
T00240,C0530,P016,2,404.53,809.06,2024-09-16,Online,Cash
T00241,C0414,P008,3,326.69,980.07,2024-12-05,Online,Credit Card
T00242,C0672,P003,4,369.55,1478.2,2026-02-23,In-Store,PayPal
T00243,C0929,P025,4,319.66,1278.64,2025-05-30,In-Store,Apple Pay
T00244,C0755,P020,1,431.54,431.54,2025-02-20,Online,PayPal
T00245,C0744,P013,2,478.82,957.64,2025-09-05,In-Store,PayPal
T00246,C0520,P017,3,270.43,811.29,2024-09-24,Online,Cash
T00247,C0186,P003,3,369.55,1108.65,2024-11-30,Online,Apple Pay
T00248,C0132,P030,3,85.88,257.64,2025-09-17,Online,PayPal
T00249,C0671,P022,1,117.81,117.81,2025-01-09,Online,PayPal
T00250,C0229,P026,3,188.24,564.72,2026-03-04,In-Store,PayPal
T00251,C0381,P003,3,369.55,1108.65,2026-03-24,In-Store,Apple Pay
T00252,C0872,P022,1,117.81,117.81,2025-11-21,In-Store,Credit Card
T00253,C0888,P030,5,85.88,429.4,2025-04-23,Online,Apple Pay
T00254,C0911,P013,2,478.82,957.64,2024-06-14,Online,Apple Pay
T00255,C0543,P006,3,113.23,339.69,2026-04-12,In-Store,Credit Card
T00256,C0892,P001,2,321.52,643.04,2024-11-09,Online,Debit Card
T00257,C0351,P027,4,137.15,548.6,2024-11-03,In-Store,Debit Card
T00258,C0324,P021,2,353.76,707.52,2026-03-21,Online,Apple Pay
T00259,C0341,P003,2,369.55,739.1,2025-03-20,In-Store,Credit Card
T00260,C0005,P005,4,213.85,855.4,2026-05-10,In-Store,Debit Card
T00261,C0780,P008,2,326.69,653.38,2025-05-06,Online,Apple Pay
T00262,C0805,P025,1,319.66,319.66,2025-09-11,Online,Cash
T00263,C0445,P027,4,137.15,548.6,2025-09-14,In-Store,Apple Pay
T00264,C0989,P019,4,415.56,1662.24,2024-07-02,In-Store,Credit Card
T00265,C0039,P003,5,369.55,1847.75,2025-08-22,Online,PayPal
T00266,C0973,P021,1,353.76,353.76,2024-12-28,In-Store,Cash
T00267,C0196,P020,1,431.54,431.54,2025-06-25,Online,Debit Card
T00268,C0232,P028,3,325.78,977.34,2025-03-28,In-Store,Debit Card
T00269,C0106,P027,4,137.15,548.6,2024-12-20,In-Store,Debit Card
T00270,C0067,P008,1,326.69,326.69,2025-10-19,In-Store,PayPal
T00271,C0467,P001,5,321.52,1607.6,2025-08-01,In-Store,Apple Pay
T00272,C0910,P015,2,424.51,849.02,2024-12-01,In-Store,Apple Pay
T00273,C0368,P029,2,89.71,179.42,2025-05-24,Online,Apple Pay
T00274,C0020,P018,2,192.37,384.74,2026-01-15,Online,Debit Card
T00275,C0217,P012,1,173.42,173.42,2024-10-09,Online,Credit Card
T00276,C0376,P029,1,89.71,89.71,2024-07-07,In-Store,PayPal
T00277,C0790,P005,5,213.85,1069.25,2025-12-26,Online,Cash
T00278,C0050,P022,1,117.81,117.81,2024-07-08,Online,Credit Card
T00279,C0707,P023,1,44.5,44.5,2026-05-04,In-Store,Apple Pay
T00280,C0390,P023,1,44.5,44.5,2026-01-04,In-Store,Apple Pay
T00281,C0719,P018,2,192.37,384.74,2025-09-24,Online,Credit Card
T00282,C0309,P004,4,446.63,1786.52,2026-02-16,Online,Cash
T00283,C0277,P028,5,325.78,1628.9,2026-03-13,Online,Apple Pay
T00284,C0851,P004,1,446.63,446.63,2024-09-26,Online,PayPal
T00285,C0117,P010,1,405.67,405.67,2025-07-28,In-Store,Debit Card
T00286,C0624,P013,2,478.82,957.64,2024-06-17,In-Store,Cash
T00287,C0997,P009,2,114.12,228.24,2026-05-25,In-Store,Apple Pay
T00288,C0303,P002,2,141.14,282.28,2026-05-23,Online,Cash
T00289,C0509,P029,2,89.71,179.42,2025-01-17,In-Store,PayPal
T00290,C0241,P024,1,55.0,55.0,2026-05-28,Online,Credit Card
T00291,C0929,P027,1,137.15,137.15,2024-08-21,In-Store,Debit Card
T00292,C0973,P015,1,424.51,424.51,2025-04-10,Online,Credit Card
T00293,C0927,P012,3,173.42,520.26,2024-08-12,Online,Apple Pay
T00294,C0304,P006,3,113.23,339.69,2024-10-31,In-Store,Credit Card
T00295,C0103,P010,2,405.67,811.34,2025-10-28,Online,PayPal
T00296,C0369,P015,3,424.51,1273.53,2025-07-07,In-Store,Credit Card
T00297,C0098,P022,1,117.81,117.81,2025-02-02,Online,Debit Card
T00298,C0680,P005,2,213.85,427.7,2026-06-05,In-Store,PayPal
T00299,C0916,P030,4,85.88,343.52,2025-05-13,In-Store,Credit Card
T00300,C0382,P026,3,188.24,564.72,2025-07-04,Online,Credit Card
T00301,C0411,P009,4,114.12,456.48,2024-07-26,In-Store,PayPal
T00302,C0856,P006,4,113.23,452.92,2025-05-29,In-Store,Apple Pay
T00303,C0665,P009,2,114.12,228.24,2025-11-09,Online,Debit Card
T00304,C0713,P012,1,173.42,173.42,2025-12-14,Online,Credit Card
T00305,C0427,P028,5,325.78,1628.9,2024-08-13,In-Store,Cash
T00306,C0695,P025,4,319.66,1278.64,2025-09-06,Online,Cash
T00307,C0389,P029,3,89.71,269.13,2024-07-28,Online,Debit Card
T00308,C0495,P029,4,89.71,358.84,2026-04-28,Online,Apple Pay
T00309,C0452,P006,1,113.23,113.23,2025-02-22,Online,PayPal
T00310,C0671,P004,3,446.63,1339.89,2026-03-30,Online,Cash
T00311,C0786,P023,5,44.5,222.5,2024-07-07,Online,PayPal
T00312,C0532,P011,5,403.88,2019.4,2025-08-15,Online,Apple Pay
T00313,C0678,P016,2,404.53,809.06,2026-05-20,In-Store,PayPal
T00314,C0680,P022,4,117.81,471.24,2024-09-05,Online,Cash
T00315,C0914,P016,5,404.53,2022.65,2026-05-21,Online,Credit Card
T00316,C0659,P015,2,424.51,849.02,2026-02-21,In-Store,Apple Pay
T00317,C0891,P022,2,117.81,235.62,2024-07-13,Online,Apple Pay
T00318,C0329,P021,2,353.76,707.52,2025-11-18,In-Store,PayPal
T00319,C0052,P007,5,18.14,90.7,2024-12-22,Online,Cash
T00320,C0659,P001,4,321.52,1286.08,2025-12-01,In-Store,Debit Card
T00321,C0081,P013,4,478.82,1915.28,2024-11-30,In-Store,Cash
T00322,C0459,P001,1,321.52,321.52,2026-02-23,In-Store,Apple Pay
T00323,C0324,P005,1,213.85,213.85,2026-02-26,In-Store,Credit Card
T00324,C0106,P004,4,446.63,1786.52,2024-11-22,In-Store,Credit Card
T00325,C0571,P016,5,404.53,2022.65,2025-06-08,Online,Credit Card
T00326,C0811,P019,5,415.56,2077.8,2025-01-27,In-Store,Cash
T00327,C0576,P029,2,89.71,179.42,2025-02-13,In-Store,PayPal
T00328,C0373,P028,1,325.78,325.78,2025-09-06,Online,Apple Pay
T00329,C0340,P005,5,213.85,1069.25,2026-05-06,In-Store,PayPal
T00330,C0734,P002,4,141.14,564.56,2024-07-22,Online,Credit Card
T00331,C0778,P006,2,113.23,226.46,2025-09-09,Online,PayPal
T00332,C0364,P014,3,50.91,152.73,2024-10-13,In-Store,Credit Card
T00333,C0047,P023,2,44.5,89.0,2024-08-07,In-Store,Debit Card
T00334,C0842,P013,4,478.82,1915.28,2024-07-16,Online,PayPal
T00335,C0626,P001,2,321.52,643.04,2026-01-25,Online,Credit Card
T00336,C0953,P003,4,369.55,1478.2,2026-04-26,Online,Apple Pay
T00337,C0845,P017,2,270.43,540.86,2024-09-04,In-Store,Credit Card
T00338,C0776,P015,4,424.51,1698.04,2026-06-11,Online,Cash
T00339,C0127,P022,4,117.81,471.24,2026-02-25,In-Store,Cash
T00340,C0980,P012,5,173.42,867.1,2025-06-15,Online,Apple Pay
T00341,C0005,P012,5,173.42,867.1,2026-05-26,Online,Cash
T00342,C0958,P015,4,424.51,1698.04,2024-06-24,In-Store,Cash
T00343,C0800,P027,2,137.15,274.3,2026-01-21,Online,Debit Card
T00344,C0107,P012,4,173.42,693.68,2025-04-21,In-Store,Cash
T00345,C0903,P013,4,478.82,1915.28,2025-05-30,In-Store,Cash
T00346,C0938,P007,2,18.14,36.28,2026-02-02,In-Store,Apple Pay
T00347,C0987,P024,3,55.0,165.0,2025-12-29,In-Store,Apple Pay
T00348,C0825,P029,2,89.71,179.42,2024-06-23,Online,Apple Pay
T00349,C0617,P012,5,173.42,867.1,2025-02-22,In-Store,Cash
T00350,C0882,P013,3,478.82,1436.46,2024-10-02,Online,Debit Card
T00351,C0215,P019,5,415.56,2077.8,2024-12-04,In-Store,PayPal
T00352,C0944,P028,2,325.78,651.56,2026-01-27,Online,Cash
T00353,C0556,P012,3,173.42,520.26,2025-01-04,Online,PayPal
T00354,C0576,P027,4,137.15,548.6,2025-06-25,In-Store,Cash
T00355,C0293,P008,4,326.69,1306.76,2025-05-05,Online,Cash
T00356,C0110,P029,1,89.71,89.71,2024-10-30,In-Store,Debit Card
T00357,C0055,P020,1,431.54,431.54,2025-10-08,Online,PayPal
T00358,C0769,P016,2,404.53,809.06,2026-02-20,In-Store,PayPal
T00359,C0150,P017,1,270.43,270.43,2026-03-26,In-Store,Debit Card
T00360,C0772,P027,5,137.15,685.75,2024-09-11,Online,PayPal
T00361,C0834,P028,4,325.78,1303.12,2025-12-04,Online,Cash
T00362,C0889,P007,5,18.14,90.7,2024-09-04,Online,Cash
T00363,C0399,P030,2,85.88,171.76,2025-07-15,In-Store,Credit Card
T00364,C0949,P007,4,18.14,72.56,2024-11-24,In-Store,Apple Pay
T00365,C0980,P007,3,18.14,54.42,2025-11-06,Online,Credit Card
T00366,C0762,P006,3,113.23,339.69,2025-07-15,Online,Cash
T00367,C0890,P022,4,117.81,471.24,2024-11-09,Online,PayPal
