transaction_id,customer_id,product_id,quantity,unit_price,total_amount,date,store_type,payment_method,year,month,month_name,day_of_week,cost_price,profit,profit_margin
T00059,C0683,P020,2,431.54,863.08,2026-04-22,Online,Credit Card,2026,4,April,Wednesday,247.36,368.36,42.68
T00060,C0725,P015,2,424.51,849.02,2025-05-11,Online,Debit Card,2025,5,May,Sunday,246.69,355.64,41.89
T00061,C0509,P001,3,321.52,964.56,2025-05-31,In-Store,Debit Card,2025,5,May,Saturday,131.02,571.5,59.25
T00062,C0381,P025,2,319.66,639.32,2025-05-19,In-Store,Credit Card,2025,5,May,Monday,162.85,313.62,49.06
T00063,C0790,P010,1,405.67,405.67,2025-03-23,In-Store,Apple Pay,2025,3,March,Sunday,163.06,242.61,59.8
T00064,C0279,P010,5,405.67,2028.35,2024-08-12,Online,PayPal,2024,8,August,Monday,163.06,1213.05,59.8
T00065,C0730,P027,5,137.15,685.75,2024-08-31,Online,Apple Pay,2024,8,August,Saturday,93.4,218.75,31.9
T00066,C0467,P016,5,404.53,2022.65,2025-10-18,In-Store,Credit Card,2025,10,October,Saturday,250.37,770.8,38.11
T00067,C0512,P005,5,213.85,1069.25,2024-08-11,Online,PayPal,2024,8,August,Sunday,87.45,632.0,59.11
T00068,C0162,P028,3,325.78,977.34,2025-11-28,Online,Cash,2025,11,November,Friday,189.84,407.82,41.73
T00069,C0691,P011,1,403.88,403.88,2024-07-11,Online,Cash,2024,7,July,Thursday,246.14,157.74,39.06
T00070,C0003,P011,1,403.88,403.88,2025-07-01,Online,Debit Card,2025,7,July,Tuesday,246.14,157.74,39.06
T00071,C0048,P027,4,137.15,548.6,2024-10-09,In-Store,Apple Pay,2024,10,October,Wednesday,93.4,175.0,31.9
T00072,C0943,P006,2,113.23,226.46,2026-02-03,Online,Credit Card,2026,2,February,Tuesday,62.46,101.54,44.84
T00073,C0567,P021,4,353.76,1415.04,2026-05-31,Online,PayPal,2026,5,May,Sunday,146.37,829.56,58.62
T00074,C0255,P026,4,188.24,752.96,2025-02-14,In-Store,PayPal,2025,2,February,Friday,87.13,404.44,53.71
T00075,C0846,P026,1,188.24,188.24,2026-04-04,In-Store,Credit Card,2026,4,April,Saturday,87.13,101.11,53.71
T00076,C0515,P023,1,44.5,44.5,2026-04-06,Online,Debit Card,2026,4,April,Monday,20.91,23.59,53.01
T00077,C0824,P024,5,55.0,275.0,2026-02-08,Online,Apple Pay,2026,2,February,Sunday,26.59,142.05,51.65
T00078,C0071,P025,4,319.66,1278.64,2025-06-22,In-Store,PayPal,2025,6,June,Sunday,162.85,627.24,49.06
T00079,C0336,P012,1,173.42,173.42,2024-11-04,In-Store,Credit Card,2024,11,November,Monday,77.46,95.96,55.33
T00080,C0378,P003,2,369.55,739.1,2025-04-06,In-Store,Cash,2025,4,April,Sunday,222.84,293.42,39.7
T00081,C0804,P030,3,85.88,257.64,2026-02-25,Online,Apple Pay,2026,2,February,Wednesday,44.13,125.25,48.61
T00082,C0378,P006,5,113.23,566.15,2025-12-08,In-Store,Debit Card,2025,12,December,Monday,62.46,253.85,44.84
T00083,C0751,P023,5,44.5,222.5,2026-02-01,Online,Debit Card,2026,2,February,Sunday,20.91,117.95,53.01
T00084,C0007,P009,4,114.12,456.48,2025-01-27,Online,Debit Card,2025,1,January,Monday,65.82,193.2,42.32
T00085,C0555,P011,3,403.88,1211.64,2025-02-19,Online,PayPal,2025,2,February,Wednesday,246.14,473.22,39.06
T00086,C0002,P010,4,405.67,1622.68,2025-05-24,In-Store,Credit Card,2025,5,May,Saturday,163.06,970.44,59.8
T00087,C0211,P017,5,270.43,1352.15,2026-01-19,Online,Apple Pay,2026,1,January,Monday,187.12,416.55,30.81
T00088,C0504,P022,1,117.81,117.81,2025-11-20,Online,PayPal,2025,11,November,Thursday,57.35,60.46,51.32
T00089,C0096,P023,1,44.5,44.5,2024-11-16,Online,Cash,2024,11,November,Saturday,20.91,23.59,53.01
T00090,C0423,P009,3,114.12,342.36,2025-01-26,In-Store,Credit Card,2025,1,January,Sunday,65.82,144.9,42.32
T00091,C0595,P008,1,326.69,326.69,2024-12-04,Online,Apple Pay,2024,12,December,Wednesday,184.08,142.61,43.65
T00092,C0077,P015,5,424.51,2122.55,2025-04-29,Online,Apple Pay,2025,4,April,Tuesday,246.69,889.1,41.89
T00093,C0679,P022,2,117.81,235.62,2024-07-21,Online,PayPal,2024,7,July,Sunday,57.35,120.92,51.32
T00094,C0268,P028,3,325.78,977.34,2024-12-08,In-Store,PayPal,2024,12,December,Sunday,189.84,407.82,41.73
T00095,C0326,P027,4,137.15,548.6,2024-10-12,In-Store,Debit Card,2024,10,October,Saturday,93.4,175.0,31.9
T00096,C0077,P016,2,404.53,809.06,2025-06-16,Online,Cash,2025,6,June,Monday,250.37,308.32,38.11
T00097,C0112,P009,2,114.12,228.24,2026-04-11,Online,Debit Card,2026,4,April,Saturday,65.82,96.6,42.32
T00098,C0461,P006,4,113.23,452.92,2025-07-16,In-Store,Apple Pay,2025,7,July,Wednesday,62.46,203.08,44.84
T00099,C0124,P007,5,18.14,90.7,2024-06-24,In-Store,Debit Card,2024,6,June,Monday,8.34,49.0,54.02
T00100,C0463,P023,3,44.5,133.5,2024-12-18,In-Store,PayPal,2024,12,December,Wednesday,20.91,70.77,53.01
T00101,C0873,P030,1,85.88,85.88,2026-05-13,Online,Debit Card,2026,5,May,Wednesday,44.13,41.75,48.61
T00102,C0827,P024,3,55.0,165.0,2024-12-22,Online,Debit Card,2024,12,December,Sunday,26.59,85.23,51.65
T00103,C0856,P029,3,89.71,269.13,2024-09-08,Online,Credit Card,2024,9,September,Sunday,55.51,102.6,38.12
T00104,C0729,P015,2,424.51,849.02,2025-04-16,In-Store,Apple Pay,2025,4,April,Wednesday,246.69,355.64,41.89
T00105,C0526,P009,1,114.12,114.12,2025-01-11,In-Store,PayPal,2025,1,January,Saturday,65.82,48.3,42.32
T00106,C0840,P008,2,326.69,653.38,2025-07-15,Online,Apple Pay,2025,7,July,Tuesday,184.08,285.22,43.65
T00107,C0876,P014,4,50.91,203.64,2024-10-15,Online,Credit Card,2024,10,October,Tuesday,21.84,116.28,57.1
T00108,C0474,P029,1,89.71,89.71,2025-10-20,Online,Credit Card,2025,10,October,Monday,55.51,34.2,38.12
T00109,C0013,P026,1,188.24,188.24,2025-08-24,Online,Debit Card,2025,8,August,Sunday,87.13,101.11,53.71
T00110,C0203,P018,4,192.37,769.48,2025-07-18,In-Store,Credit Card,2025,7,July,Friday,108.81,334.24,43.44
T00111,C0597,P028,5,325.78,1628.9,2026-04-23,In-Store,Credit Card,2026,4,April,Thursday,189.84,679.7,41.73
T00112,C0023,P018,1,192.37,192.37,2024-10-22,Online,Apple Pay,2024,10,October,Tuesday,108.81,83.56,43.44
T00113,C0829,P011,2,403.88,807.76,2026-01-25,Online,PayPal,2026,1,January,Sunday,246.14,315.48,39.06
T00114,C0126,P021,1,353.76,353.76,2026-04-25,In-Store,Credit Card,2026,4,April,Saturday,146.37,207.39,58.62
T00115,C0173,P010,5,405.67,2028.35,2026-03-15,In-Store,Apple Pay,2026,3,March,Sunday,163.06,1213.05,59.8
T00116,C0509,P015,1,424.51,424.51,2026-03-28,In-Store,Apple Pay,2026,3,March,Saturday,246.69,177.82,41.89
T00117,C0177,P026,3,188.24,564.72,2024-08-24,Online,Debit Card,2024,8,August,Saturday,87.13,303.33,53.71
T00118,C0282,P011,3,403.88,1211.64,2024-07-30,In-Store,Debit Card,2024,7,July,Tuesday,246.14,473.22,39.06
T00119,C0036,P019,5,415.56,2077.8,2025-01-04,Online,PayPal,2025,1,January,Saturday,243.33,861.15,41.45
T00120,C0511,P010,4,405.67,1622.68,2026-03-21,In-Store,Credit Card,2026,3,March,Saturday,163.06,970.44,59.8
T00121,C0090,P011,3,403.88,1211.64,2026-03-11,In-Store,Debit Card,2026,3,March,Wednesday,246.14,473.22,39.06
T00122,C0430,P020,2,431.54,863.08,2025-01-13,Online,Cash,2025,1,January,Monday,247.36,368.36,42.68
T00123,C0814,P016,1,404.53,404.53,2026-01-24,In-Store,PayPal,2026,1,January,Saturday,250.37,154.16,38.11
T00124,C0492,P017,5,270.43,1352.15,2025-09-23,In-Store,PayPal,2025,9,September,Tuesday,187.12,416.55,30.81
T00125,C0935,P026,5,188.24,941.2,2025-09-07,In-Store,Apple Pay,2025,9,September,Sunday,87.13,505.55,53.71
T00126,C0277,P022,2,117.81,235.62,2024-07-28,Online,PayPal,2024,7,July,Sunday,57.35,120.92,51.32
T00127,C0612,P016,2,404.53,809.06,2026-03-24,Online,PayPal,2026,3,March,Tuesday,250.37,308.32,38.11
T00128,C0060,P023,4,44.5,178.0,2025-09-09,In-Store,Cash,2025,9,September,Tuesday,20.91,94.36,53.01
T00129,C0239,P022,2,117.81,235.62,2025-07-09,Online,Debit Card,2025,7,July,Wednesday,57.35,120.92,51.32
T00130,C0673,P026,2,188.24,376.48,2026-04-12,In-Store,Cash,2026,4,April,Sunday,87.13,202.22,53.71
T00131,C0836,P011,1,403.88,403.88,2025-05-21,Online,Cash,2025,5,May,Wednesday,246.14,157.74,39.06
T00132,C0867,P007,4,18.14,72.56,2025-12-18,In-Store,Debit Card,2025,12,December,Thursday,8.34,39.2,54.02
T00133,C0181,P010,2,405.67,811.34,2025-03-02,In-Store,PayPal,2025,3,March,Sunday,163.06,485.22,59.8
T00134,C0936,P023,5,44.5,222.5,2025-05-04,Online,PayPal,2025,5,May,Sunday,20.91,117.95,53.01
T00135,C0971,P021,5,353.76,1768.8,2025-01-22,Online,Cash,2025,1,January,Wednesday,146.37,1036.95,58.62
T00136,C0972,P002,2,141.14,282.28,2025-05-13,In-Store,Cash,2025,5,May,Tuesday,65.91,150.46,53.3
T00137,C0317,P019,2,415.56,831.12,2024-11-30,In-Store,Credit Card,2024,11,November,Saturday,243.33,344.46,41.45
T00138,C0093,P016,1,404.53,404.53,2025-01-13,Online,Cash,2025,1,January,Monday,250.37,154.16,38.11
T00139,C0225,P028,1,325.78,325.78,2025-02-20,In-Store,Credit Card,2025,2,February,Thursday,189.84,135.94,41.73
T00140,C0340,P026,5,188.24,941.2,2024-08-12,Online,Debit Card,2024,8,August,Monday,87.13,505.55,53.71
T00141,C0349,P022,2,117.81,235.62,2025-12-24,In-Store,Credit Card,2025,12,December,Wednesday,57.35,120.92,51.32
T00142,C0023,P024,2,55.0,110.0,2026-04-15,Online,Credit Card,2026,4,April,Wednesday,26.59,56.82,51.65
T00143,C0867,P007,5,18.14,90.7,2024-10-01,In-Store,Credit Card,2024,10,October,Tuesday,8.34,49.0,54.02
T00144,C0383,P009,4,114.12,456.48,2025-01-02,Online,PayPal,2025,1,January,Thursday,65.82,193.2,42.32
T00145,C0310,P010,3,405.67,1217.01,2024-09-04,Online,Debit Card,2024,9,September,Wednesday,163.06,727.83,59.8
T00146,C0750,P024,4,55.0,220.0,2025-08-28,In-Store,PayPal,2025,8,August,Thursday,26.59,113.64,51.65
T00147,C0179,P008,5,326.69,1633.45,2025-01-12,In-Store,Debit Card,2025,1,January,Sunday,184.08,713.05,43.65
T00148,C0682,P007,5,18.14,90.7,2026-01-11,Online,Apple Pay,2026,1,January,Sunday,8.34,49.0,54.02
T00149,C0315,P002,3,141.14,423.42,2024-11-16,Online,Debit Card,2024,11,November,Saturday,65.91,225.69,53.3
T00150,C0747,P025,1,319.66,319.66,2025-03-27,In-Store,Cash,2025,3,March,Thursday,162.85,156.81,49.06
T00151,C0034,P014,2,50.91,101.82,2024-10-21,In-Store,Cash,2024,10,October,Monday,21.84,58.14,57.1
T00152,C0227,P021,5,353.76,1768.8,2026-03-02,Online,Apple Pay,2026,3,March,Monday,146.37,1036.95,58.62
T00153,C0145,P005,3,213.85,641.55,2025-09-28,Online,Debit Card,2025,9,September,Sunday,87.45,379.2,59.11
T00154,C0356,P013,3,478.82,1436.46,2025-03-18,Online,Credit Card,2025,3,March,Tuesday,239.88,716.82,49.9
T00155,C0842,P011,3,403.88,1211.64,2026-04-19,In-Store,Credit Card,2026,4,April,Sunday,246.14,473.22,39.06
T00156,C0272,P021,2,353.76,707.52,2026-06-02,Online,Credit Card,2026,6,June,Tuesday,146.37,414.78,58.62
T00157,C0359,P014,3,50.91,152.73,2026-06-03,Online,Credit Card,2026,6,June,Wednesday,21.84,87.21,57.1
T00158,C0050,P008,4,326.69,1306.76,2024-09-29,In-Store,Apple Pay,2024,9,September,Sunday,184.08,570.44,43.65
T00159,C0993,P006,2,113.23,226.46,2026-05-28,In-Store,Apple Pay,2026,5,May,Thursday,62.46,101.54,44.84
T00160,C0903,P023,4,44.5,178.0,2024-12-31,In-Store,Cash,2024,12,December,Tuesday,20.91,94.36,53.01
T00161,C0385,P019,1,415.56,415.56,2026-05-31,In-Store,Cash,2026,5,May,Sunday,243.33,172.23,41.45
T00162,C0667,P017,2,270.43,540.86,2026-03-31,Online,Apple Pay,2026,3,March,Tuesday,187.12,166.62,30.81
T00163,C0076,P017,1,270.43,270.43,2025-07-08,In-Store,Credit Card,2025,7,July,Tuesday,187.12,83.31,30.81
T00164,C0327,P022,3,117.81,353.43,2024-11-19,Online,Credit Card,2024,11,November,Tuesday,57.35,181.38,51.32
T00165,C0351,P015,2,424.51,849.02,2026-03-13,In-Store,Debit Card,2026,3,March,Friday,246.69,355.64,41.89
T00166,C0750,P025,1,319.66,319.66,2025-02-14,Online,PayPal,2025,2,February,Friday,162.85,156.81,49.06
T00167,C0609,P005,5,213.85,1069.25,2025-09-08,In-Store,Credit Card,2025,9,September,Monday,87.45,632.0,59.11
T00168,C0442,P006,2,113.23,226.46,2025-09-19,In-Store,Debit Card,2025,9,September,Friday,62.46,101.54,44.84
T00169,C0055,P004,1,446.63,446.63,2026-02-02,In-Store,Debit Card,2026,2,February,Monday,190.3,256.33,57.39
T00170,C0998,P028,2,325.78,651.56,2026-03-14,In-Store,Cash,2026,3,March,Saturday,189.84,271.88,41.73
T00171,C0740,P024,5,55.0,275.0,2024-10-24,In-Store,PayPal,2024,10,October,Thursday,26.59,142.05,51.65
T00172,C0305,P021,2,353.76,707.52,2025-06-19,Online,Credit Card,2025,6,June,Thursday,146.37,414.78,58.62
T00173,C0403,P028,5,325.78,1628.9,2025-06-15,In-Store,Debit Card,2025,6,June,Sunday,189.84,679.7,41.73
T00174,C0056,P009,3,114.12,342.36,2026-01-15,Online,Apple Pay,2026,1,January,Thursday,65.82,144.9,42.32
T00175,C0090,P020,3,431.54,1294.62,2024-12-13,In-Store,Debit Card,2024,12,December,Friday,247.36,552.54,42.68
T00176,C0100,P030,1,85.88,85.88,2025-06-16,Online,Debit Card,2025,6,June,Monday,44.13,41.75,48.61
T00177,C0654,P013,3,478.82,1436.46,2025-08-27,Online,Apple Pay,2025,8,August,Wednesday,239.88,716.82,49.9
T00178,C0865,P017,1,270.43,270.43,2026-01-19,In-Store,Apple Pay,2026,1,January,Monday,187.12,83.31,30.81
T00179,C0483,P007,4,18.14,72.56,2025-12-01,In-Store,Credit Card,2025,12,December,Monday,8.34,39.2,54.02
T00180,C0658,P002,5,141.14,705.7,2024-10-08,In-Store,Debit Card,2024,10,October,Tuesday,65.91,376.15,53.3
T00181,C0380,P027,4,137.15,548.6,2024-12-02,In-Store,Debit Card,2024,12,December,Monday,93.4,175.0,31.9
T00182,C0457,P023,1,44.5,44.5,2025-03-23,In-Store,Apple Pay,2025,3,March,Sunday,20.91,23.59,53.01
T00183,C0477,P006,3,113.23,339.69,2025-05-15,Online,PayPal,2025,5,May,Thursday,62.46,152.31,44.84
T00184,C0578,P010,1,405.67,405.67,2026-06-14,Online,Credit Card,2026,6,June,Sunday,163.06,242.61,59.8
T00185,C0088,P009,3,114.12,342.36,2025-12-30,In-Store,Cash,2025,12,December,Tuesday,65.82,144.9,42.32
T00186,C0233,P011,5,403.88,2019.4,2025-03-07,Online,Apple Pay,2025,3,March,Friday,246.14,788.7,39.06
T00187,C0839,P024,5,55.0,275.0,2024-11-15,In-Store,Cash,2024,11,November,Friday,26.59,142.05,51.65
T00188,C0704,P005,4,213.85,855.4,2024-08-22,Online,Apple Pay,2024,8,August,Thursday,87.45,505.6,59.11
T00189,C0307,P028,1,325.78,325.78,2026-01-08,In-Store,Credit Card,2026,1,January,Thursday,189.84,135.94,41.73
T00190,C0515,P016,5,404.53,2022.65,2024-10-19,Online,Credit Card,2024,10,October,Saturday,250.37,770.8,38.11
T00191,C0973,P022,4,117.81,471.24,2024-12-12,Online,Debit Card,2024,12,December,Thursday,57.35,241.84,51.32
T00192,C0996,P024,2,55.0,110.0,2025-03-15,Online,Debit Card,2025,3,March,Saturday,26.59,56.82,51.65
T00193,C0044,P007,4,18.14,72.56,2025-09-04,Online,Apple Pay,2025,9,September,Thursday,8.34,39.2,54.02
T00194,C0207,P002,2,141.14,282.28,2025-06-27,In-Store,PayPal,2025,6,June,Friday,65.91,150.46,53.3
T00195,C0933,P014,1,50.91,50.91,2026-01-18,Online,Apple Pay,2026,1,January,Sunday,21.84,29.07,57.1
T00196,C0570,P002,4,141.14,564.56,2026-03-28,In-Store,PayPal,2026,3,March,Saturday,65.91,300.92,53.3
T00197,C0533,P008,4,326.69,1306.76,2025-01-14,Online,Cash,2025,1,January,Tuesday,184.08,570.44,43.65
T00198,C0602,P009,5,114.12,570.6,2026-05-22,In-Store,Credit Card,2026,5,May,Friday,65.82,241.5,42.32
T00199,C0425,P004,2,446.63,893.26,2025-07-22,Online,Cash,2025,7,July,Tuesday,190.3,512.66,57.39
T00200,C0603,P022,5,117.81,589.05,2025-04-14,Online,Credit Card,2025,4,April,Monday,57.35,302.3,51.32
T00201,C0577,P006,1,113.23,113.23,2026-01-10,In-Store,Cash,2026,1,January,Saturday,62.46,50.77,44.84
T00202,C0902,P008,3,326.69,980.07,2026-02-27,In-Store,PayPal,2026,2,February,Friday,184.08,427.83,43.65
T00203,C0393,P026,4,188.24,752.96,2024-09-10,In-Store,Credit Card,2024,9,September,Tuesday,87.13,404.44,53.71
T00204,C0177,P030,3,85.88,257.64,2025-06-15,In-Store,Debit Card,2025,6,June,Sunday,44.13,125.25,48.61
T00205,C0634,P014,5,50.91,254.55,2025-08-15,In-Store,Credit Card,2025,8,August,Friday,21.84,145.35,57.1
T00206,C0406,P017,3,270.43,811.29,2025-03-04,Online,Credit Card,2025,3,March,Tuesday,187.12,249.93,30.81
T00207,C0764,P009,4,114.12,456.48,2025-04-17,In-Store,PayPal,2025,4,April,Thursday,65.82,193.2,42.32
T00208,C0021,P017,3,270.43,811.29,2025-06-04,In-Store,PayPal,2025,6,June,Wednesday,187.12,249.93,30.81
T00209,C0288,P003,4,369.55,1478.2,2024-09-24,Online,Debit Card,2024,9,September,Tuesday,222.84,586.84,39.7
T00210,C0138,P021,3,353.76,1061.28,2025-09-04,In-Store,PayPal,2025,9,September,Thursday,146.37,622.17,58.62
T00211,C0276,P021,4,353.76,1415.04,2025-04-20,Online,Debit Card,2025,4,April,Sunday,146.37,829.56,58.62
T00212,C0453,P006,2,113.23,226.46,2024-10-12,In-Store,Apple Pay,2024,10,October,Saturday,62.46,101.54,44.84
T00213,C0778,P029,5,89.71,448.55,2026-03-20,In-Store,Credit Card,2026,3,March,Friday,55.51,171.0,38.12
T00214,C0528,P026,2,188.24,376.48,2024-07-07,Online,PayPal,2024,7,July,Sunday,87.13,202.22,53.71
T00215,C0727,P002,5,141.14,705.7,2025-03-19,In-Store,Debit Card,2025,3,March,Wednesday,65.91,376.15,53.3
T00216,C0800,P009,5,114.12,570.6,2025-03-08,Online,Debit Card,2025,3,March,Saturday,65.82,241.5,42.32
T00217,C0198,P027,2,137.15,274.3,2024-11-20,Online,Debit Card,2024,11,November,Wednesday,93.4,87.5,31.9
T00218,C0034,P007,4,18.14,72.56,2025-04-14,Online,PayPal,2025,4,April,Monday,8.34,39.2,54.02
T00219,C0722,P014,2,50.91,101.82,2025-12-27,In-Store,PayPal,2025,12,December,Saturday,21.84,58.14,57.1
T00220,C0844,P027,4,137.15,548.6,2026-01-24,In-Store,Credit Card,2026,1,January,Saturday,93.4,175.0,31.9
T00221,C0698,P002,1,141.14,141.14,2026-02-03,Online,PayPal,2026,2,February,Tuesday,65.91,75.23,53.3
T00222,C0501,P008,5,326.69,1633.45,2025-06-29,In-Store,Debit Card,2025,6,June,Sunday,184.08,713.05,43.65
T00223,C0984,P004,4,446.63,1786.52,2025-05-06,In-Store,PayPal,2025,5,May,Tuesday,190.3,1025.32,57.39
